,product,topic,review_count,topic_coherence,top_words,best_review,best_review_fit,top_bigrams_pmi,top_bigrams_freq,top_trigrams_pmi,top_trigrams_freq
10,B002IEZJMA,10,1,0.288916056993442,"['store', 'large', 'local', 'exactly', 'surprisingly', 'particularly', 'acid', 'surprised', 'amount', 'occasion']","sludgy, thick, burnt coffee grounds is what comes to mind after one swallow of this concoction.  if you can finish the rest, more power to you.",0.3521229,[],[],[],[]
11,B002IEZJMA,11,477,0.2888435818923788,"['GOODREVIEW', 'BADREVIEW', 'illy', 'sweet', 'one', 'try', 'make', 'ice', 'cold', 'bitter']","this coffee drink has a much stronger coffee taste than most -- and i like that.  i do not drink a lot of coffee products, but when i do i want something that is definitely coffee and not a confusing combination of flavors and sweeteners.  in addition to the strong coffee taste, there is a hint of bitterness but it is not unpleasant.  this is not a beverage i would drink daily -- i think it would lose some of its excitement and get a bit boring -- but it is nice to have a few cans in the refrigerator.  by the way, i tried heating a serving... do not bother, this drink is absolutely at its best served well chilled.",0.9796295,"['gas station', 'lactose intolerant', 'mayo clinic', 'mountain dew', 'nowhere near', 'turkey gravy', 'atlanta ga.', 'final verdict', 'take-along booster', 'brushed teeth']","[', i', '. it', ', but', '. the', 'i not', '. is', 'coffee ,', 'coffee .']","['carb 12g 1g', ': 1:50 mins', 'length : 1:50', 'total carb 12g', '20mg carb 12g', '20mg total carb', '/ 9.2857 =', 'fructose corn syrup', 'sodium total carb', '/ 78 =']","['. if you', '. i not', '. this is', 'i do not', ', it is', 'it is a', 'coffee . i', ', but i']"
0,B006MONQMC,0,0,0.6919089546189074,"['someone', 'happy', 'mention', 'particularly', 'coloring', 'sport', 'person', 'describe', 'awful', 'whether']",none,,[],[],[],[]
1,B006MONQMC,1,0,0.6821211480566891,"['old', 'swallow', 'everywhere', 'dish', 'aka', 'hat', 'shoot', 'wife', 'caffine', 'dispenser']",none,,[],[],[],[]
2,B006MONQMC,2,0,0.6792010308766769,"['regard', 'tonic', 'tart', 'reasonable', 'boast', 'unsure', 'suitable', 'sponge', 'member', 'program']",none,,[],[],[],[]
3,B006MONQMC,3,3,0.5830388716062493,"['GOODREVIEW', 'BADREVIEW', 'b', 'taurine', 'c', 'energy', 'would', 'one', 'fruit', 'actually']","very glad i read the label...when i selected it from amazon i thought it was an energy drink...it is actually an additive you put in your water to make your water an energy drink!  actually very tasty...very reminiscent of kool-aid fruit punch flavor.  one long squeeze is good for me in a 1/2 liter bottle of water.  i do like that you can make it stronger or weaker to taste based on how much you add.  needs to be refrigerated after opening...one more thing to take up space in my fridge, but oh well.  i notice i am drinking more water later thanks to this, so that is good!  and if i am getting more vitamins, well hey, that is cool too.  0 calories...has caffeine.",0.9846469000000001,"['an drink', 'energy drink', 'first glass', 'am more', 'more vitamins', 'my first', 'punch flavor', 'an energy', 'would have', 'my glass']","['i it', 'i not', 'to ,', ""' i"", ', according', ', but', ', i', ', it']","['an energy drink', 'my first glass', 'it does not', 'i am more', ', according to', ', that is', '. i not']","['. i not', 'an energy drink', 'i am more', 'it does not', 'my first glass']"
4,B006MONQMC,4,0,0.5602306057165591,"['stomach', 'upset', 'vs', 'replacement', 'match', 'potion', 'purple', 'ignore', 'rightside', 'impressive']",none,,[],[],[],[]
5,B006MONQMC,5,488,0.49053146922087343,"['GOODREVIEW', 'BADREVIEW', 'energy', 'use', 'get', 'one', 'fruit', 'would', 'much', 'caffeine']","we were pretty excited to try this out especially for use with workouts etc..water does not always cut it and gatorade etc gets a bit costly plus all the sugar and salt really adds up over time.  first, the squeeze idea is great! no mess, no fuss, super simple to use. vast improvement over powdered drinks (including gatorade)with the added benefit of being able to adjust for personal preference.  i found a quick squeeze more than ample; my other half liked a bit more flavor. we both liked the ability to squeeze and go. so far so good. will give the convenience a big plus!  the so-so part is the flavor...i am just not wild about the fruit punch flavor but would probably be willing to give other flavors a try and see if they are more to my liking. it is not bad per se, it is just not that good. at first i thought it was just me but spouse felt the same way. will consider this more or less neutral since it is not great but certainly not bad either.  now for the thing that i do not really like...the vitamins. yes, there is a nice range of vitamins and at first glance, that sounds fine but, the quality of the included vitamins is questionable. for example, for b12, cyanocobalmin is used rather than the more expensive (and bioavailable) methylcobalmin. to be perfectly fair, the vast majority of people probably will not/do not care and the idea of taking in some vitamins at all is an improvement. however, those that are health conscious and/or only use bioavailable forms of vitamins will be disappointed. i try not to take inferior vitamin types so that they do not block absorption of better/more available forms.  all in all, a vast improvement over cola's. very convenient. not bad tasting but not great and selection of vitamins could be better.",0.9948215,"['yada yada..', 'fort knox', '1.5 liter', 'bike ride', 'deer park', 'gummy worms', 'starbucks grande', 'glycemic load', 'risks associated', 'fructose corn']","['it is', '. it', ', i', ', and', ', but', 'i not', ', it', 'is a']","['gum acacia glyceryl', 'acacia glyceryl abietate', 'acai grape pomegranate', 'fructose corn syrup', 'health risks associated', 'length : 0:49', 'length : 1:10', 'stained everything touched', 'specially designed delivers', ': 0:49 mins']","[', it is', 'i do not', '. i am', 'it is not', '. i have', '. the is', '. if you', '. this is']"
6,B006MONQMC,6,0,0.3209311308882711,"['smell', 'synthetic', 'ton', 'limit', 'artifical', 'sick', 'compact', 'flexible', 'bitterness', 'cranberry']",none,,[],[],[],[]
7,B006MONQMC,7,0,0.25589026722389907,"['friend', 'potassium', 'safe', 'calcium', 'iced', 'doctor', 'filtered', 'skip', 'basic', 'lime']",none,,[],[],[],[]
0,B005ZBZLT4,0,1,0.6737631135961133,"['delivery', 'auto', 'month', 'high', 'foil', 'cause', 'show', 'local', 'comparison', 'third']","i like the product and the price point, but for me, the flavor was very strong and overpowering.  perhaps i should have figured this out from the &#34;fog chaser&#34; name?",0.4636362,"['# 34', '# ;', '& #', '& 34', '34 ;']","['& #', '& 34', '34 ;']","['# 34 ;', '& # 34', '& # ;', '& 34 ;']","['& # ;', '& 34 ;']"
1,B005ZBZLT4,1,0,0.656281378123098,"['package', 'expect', 'office', 'unit', 'air', 'start', 'tight', 'appear', 'filtration', 'require']",none,,[],[],[],[]
2,B005ZBZLT4,2,0,0.6092117654084592,"['eco', 'case', 'dry', 'espresso', 'brown', 'aromatic', 'twice', 'ekobrew', 'everyday', 'late']",none,,[],[],[],[]
3,B005ZBZLT4,3,497,0.6083345085390794,"['GOODREVIEW', 'BADREVIEW', 'flavor', 'one', 'pod', 'use', 'love', 'keurig', 'strong', 'get']","tried this pod coffee with a bit of trepidation, first it was a new style pod and 2nd it had several bad reviews.  tried it anyway and i am glad i did.  1. new pod style worked great.  no issues what so ever.  they pack the pods in small bags so the air does not oxidize the remaining pods.  i use a clip to seal the bag back up after opening.  maybe they could add a self seal bag type but then they would raise the price on me.  leave it as is.  2. coffee was great.  very bold just like i like it.  in fact it was better than the other bolds on my amazon subscribe and save list.  this coffee pod just made the list.  all i can say about the reviewers that did not like the bold taste is that perhaps they are only ""wanna be"" bold coffee drinkers.  maybe they should practice more and then try this blend again.",0.9879995,"['grove square', 'houtte eclipse', 'van houtte', 'web site', '5:45 a.m.', 'mission statement', 'sumatran reserve', 'thirty six', 'vertical dispensers', 'flow thru']","['it is', 'the coffee', ', i', 'coffee .', 'of the', 'i have', 'of coffee', 'this is']","['van houtte eclipse', 'pinprick hole vs.', 'beats paying 15', 'escaping through pinprick', 'water flow thru', 'their mission statement', 'through pinprick hole', 'filtration system vs.', 'timothy midnight magic', 'tan ick !']","['. i have', 'cup of coffee', '. this is', 'the of the', 'san francisco bay', '. i the', 'coffee . i', '. i am']"
4,B005ZBZLT4,4,0,0.587384973988675,"['harsh', 'reseal', 'lover', 'true', 'transfer', 'cover', 'maintain', 'dunkin', 'life', 'hey']",none,,[],[],[],[]
5,B005ZBZLT4,5,2,0.5671361469771248,"['unfortunately', 'rating', 'return', 'along', 'fast', 'delightful', 'ok', 'surprisingly', 'messy', 'fall']","i am shocked at all the good reviews for this sludge...i found it to be akin to very watery mud. horrible, and not an item eligible for return with amazon unfortunately. a total rip off! now, i will splurge for the keurig k-cups; lesson learned the hard way :(",0.41117109999999996,"['and not', 'eligible return', 'horrible and', 'eligible for', 'for return']","['eligible return', 'for return', 'horrible and']","['horrible and not', 'eligible for return']",[]
6,B005ZBZLT4,6,6,0.5005947386364775,"['GOODREVIEW', 'BADREVIEW', 'bag', 'strong', 'version', 'fog', 'chaser', 'seal', 'especially', 'smell']","i have been a picky keurig fan for about ten years, have always bought my coffee from either onegreatcup or amazon (because stores just do not have the selection), and until now had settled on jet fuel as my favorite -- just so you know what i like. fogchaser is in that league: rich, deep, dark, zesty, overall interesting and best of all (unlike the plastic-bottomed k-cups) brewing it makes my kitchen smell good again. i am putting it on subscription.  a good find; a keeper -- glad i tried it.",0.93500906,"['tasting ...', '... fog', 'fog chaser', 'especially for', 'of all', 'as strong', 'not as', 'not strong', 'very good', 'i like']","['i it', 'it is', ', ,', ', is', ', it', '. the', 'and .', 'fog chaser']","['weak tasting ...', 'tasting ... fog', '... fog chaser', 'not as strong', 'strong i was', 'fog chaser .', 'as strong i', 'is very good', 'very good ,', 'it is not']","['... fog chaser', 'as strong i', 'fog chaser .', 'good . i', 'is very good', 'it is not', 'not as strong', 'strong i was']"
7,B005ZBZLT4,7,0,0.4823773021933329,"['grocery', 'daily', 'wonder', 'local', 'help', 'consistent', 'return', 'mistake', 'reuse', 'correctly']",none,,[],[],[],[]
8,B005ZBZLT4,8,0,0.35574824315621056,"['choose', 'write', 'bug', 'crema', 'call', 'note', 'previous', 'tear', 'robinson', 'remind']",none,,[],[],[],[]
9,B005ZBZLT4,9,0,0.317824691308232,"['interesting', 'please', 'mild', 'old', 'pre', 'personal', 'reorder', 'note', 'date', 'buying']",none,,[],[],[],[]
0,B003GTR8IO,0,0,0.6848942715604145,"['preface', 'skip', 'keep', 'stuff', 'week', 'fragrance', 'permeate', 'long', 'comment', 'design']",none,,[],[],[],[]
1,B003GTR8IO,1,525,0.6450051496393966,"['GOODREVIEW', 'BADREVIEW', 'flavor', 'taste', 'starbucks', 'like', 'good', 'would', 'cup', 'brew']","i must begin by saying i love flavored coffee.  however, in my opinion, many flavored coffees tend to be terribly overpowering to the point where i typically brew my flavored coffee with a 50/50 mix of flavored coffee to regular coffee.  normally i brew my coffee with 1 tablespoon of ground coffee per 6 ounces of water and use 1 packet of sugar per cup.  i must admit that traditionally i am not a huge fan of starbucks.  while they put out an excellent quality product, i think their beans tend to be over roasted.  however, i am the first to say it is still a decent cup of coffee.  so when i had the opportunity to try the starbucks natural fusions line, i jumped on the chance.  when i received my bag of starbucks vanilla flavored coffee, i pulled out the coffee maker and brewed up a cup.  the bouquet of the coffee grounds was a bit unusual.  there was a definite aroma of fine coffee beans, but there was an underlying odor that i can not place.  the ground coffee did not have a distinct vanilla aroma that i could detect.  the same was true with a brewed cup.  while there was a distinctive coffee scent, i still could detect the mystery scent which still did not smell like vanilla to me.  the first sip resulted in an overpowering bitter flavor.  having spent significant time in the caribbean and south america, i am no stranger to the strong brewed coffees that are prevalent in some countries i have been to.  i am unsure of the source of the bitterness in the coffee (maybe the sarsaparilla root listed in the ingredients), but the bitter flavor was very significant.  the bitter flavor did become less noticeable with the more coffee i drank.  while i became accustomed to the bitterness, it never really went completely away.  i really did not detect any vanilla flavor in the coffee, even when used at full strength.  in my opinion, the bitterness really detracts from any flavor of the coffee.  i am sure some people might love this aspect of the coffee, but for me it did not work.  overall, this did not seem to be a bad cup of coffee, but i just could not get past the overwhelming bitter flavor.  i would recommend this blend to people who like an intense, bitter flavor to their coffee.  if you prefer a milder cup of joe, then i would pass on this coffee.  i think this will be a wonderful product for the right person; however, that person just is not me.  j. e. nelson",0.9959232,"['coca cola', 'fit bill', '[ ]', 'baked goods', 'gold card', 'posted photograph', 'south america', 'toddy system', 'wood chips', 'brother law']","['coffee .', '. the', 'coffee ,', 'the coffee', 'it is', ', but', 'the vanilla', 'this coffee']","['willing pay boutique', 'mate peppermint mocha', 'pay boutique prices', '100 % responsibly', 'cold toddy system', 'responsibly grown ethically', 'grown ethically traded', 'k-cup reusable filter', '% responsibly grown', '100 % grown']","['. i am', '. the vanilla', ', but i', 'i am not', '. i not', 'the vanilla flavor', 'the vanilla is', '. if you']"
2,B003GTR8IO,2,1,0.5638880039513215,"['mood', 'see', 'adjust', 'stock', 'live', 'mouth', 'lb', 'recommendation', 'stick', 'anywhere']",the product was expired by about 7 months. i did not see it anywhere on the product information. i was not impressed.,0.5428963000000001,"['i not', 'the product', '. i']",['the product'],['. i not'],[]
3,B003GTR8IO,3,0,0.5478694043561412,"['trade', 'free', 'fair', 'empty', 'participate', 'yeah', 'pay', 'clock', 'size', 'purist']",none,,[],[],[],[]
4,B003GTR8IO,4,0,0.5311492402033712,"['cooky', 'decaf', 'original', 'avid', 'con', 'connoisseur', 'inhale', 'shelf', 'sensitive', 'real']",none,,[],[],[],[]
5,B003GTR8IO,5,0,0.5256757526925371,"['law', 'amazing', 'mr', 'brother', 'peet', 'dominate', 'directly', 'watery', 'gift', 'cake']",none,,[],[],[],[]
6,B003GTR8IO,6,0,0.5247257279771428,"['lovely', 'absolutely', 'folgers', 'impression', 'sorry', 'entire', 'purist', 'interesting', 'tongue', 'mouth']",none,,[],[],[],[]
7,B003GTR8IO,7,0,0.5140888569135522,"['american', 'latin', 'standard', 'oily', 'yum', 'color', 'soft', 'thumb', 'filter', 'acidity']",none,,[],[],[],[]
8,B003GTR8IO,8,0,0.48361741376087697,"['shot', 'additive', 'grocer', 'clearly', 'sweetner', 'forward', 'standard', 'small', 'six', 'onto']",none,,[],[],[],[]
9,B003GTR8IO,9,4,0.29967182935941034,"['GOODREVIEW', 'flavor', 'love', 'BADREVIEW', 'starbucks', 'like', 'brand', 'would', 'try', 'natural']","i love this coffee.  it has the boldness of regular starbucks coffee with a light vanilla flavor.  i love that it is not overpowered with an artificial vanilla taste like a lot of other brands.  this coffee is great if you love the bold flavor of starbucks - however if you do not like a strong coffee, i would stear clear of this one.  i personally love starbucks flavor and i love the natural vanilla flavor.  i brought this to work and my coworkers all agreed.  if you want a really sweet vanilla flavor, this is probably not for you.",0.9561055,"['is great', 'great you', 'coffee great', 'regular coffee', 'the natural', 'if you', 'it has', 'like a', 'vanilla flavor', 'to my']","['vanilla flavor', '! i', '. it', '. this', 'coffee .', 'coffee i', 'flavor i', 'i am']","['is great you', 'coffee is great', 'this is great', 'this coffee great', 'flavor was not', 'the flavor was', 'this coffee is', '. it has', 'love it !', '. coffee is']","['. coffee is', '. it has', '. this coffee', '. this is', 'coffee . i', 'coffee is great', 'flavor . i', 'flavor i love']"
10,B003GTR8IO,10,0,0.26021529866854126,"['milk', 'machine', 'press', 'espresso', 'latte', 'batch', 'create', 'cafe', 'daily', 'french']",none,,[],[],[],[]
0,B005K4Q34S,0,3,0.5927353141840004,"['instant', 'oil', 'hydrogenate', 'artificial', 'pay', 'read', 'ingredient', 'remember', 'afternoon', 'vegetable']","ingredient: partially hydrogenated vegetable oil (may contain coconut, soybean, sunflower, palm and/or canola), sugar, corn syrup solids, instant coffee, sodium caseinate, salt, natural and artificial flavors, cocoa (processed with alkali), dipotassium phosphate, cornstarch, mono- and diglycerides, silicon dioxide, soy lecithin, artificial color, ""sucralose"".",0.97897094,"['which ?', 'corn syrup', '? )', 'partially hydrogenated', 'vegetable (', 'hydrogenated oil', 'vegetable oil', 'instant coffee', 'oil (', 'and coffee']","['artificial ,', 'coffee ,', 'hydrogenated oil', 'instant ,', 'instant coffee', ') ,', ', corn', ', not']","['( which ?', 'which ? )', 'partially hydrogenated oil', 'vegetable oil (', '? ) and', ', corn syrup', 'corn syrup ,', 'instant coffee ,']","[', corn syrup', '? ) and', 'corn syrup ,', 'partially hydrogenated oil', 'vegetable oil (', 'which ? )']"
1,B005K4Q34S,1,2,0.5650221783111469,"['fat', 'splenda', 'old', 'require', 'trans', 'evening', 'bottom', 'seem', 'setting', 'terrible']","any product with hydrogenated vegetable oils as the first ingredient is not worth buying.  this stuff has been banned in ny for a reason - it is poison for the human body. see the wikipedia article on trans fats for more information.  here is a clip : ""because of these facts and concerns, the nas has concluded there is no safe level of trans fat consumption. there is no adequate level, recommended daily amount or tolerable upper limit for trans fats. this is because any incremental increase in trans fat intake increases the risk of coronary heart disease.[2] """,0.57753855,"['no level', 'there no', 'trans fat', 'trans fats', 'is no', 'there is', '. this', '. is']","['is no', 'no level', 'there is', 'there no', 'trans fat', 'trans fats']","['is no level', 'there is no']",[]
2,B005K4Q34S,2,0,0.5403227450413983,"['favorite', 'thank', 'amazon', 'company', 'able', 'sign', 'thanks', 'bargain', 'month', 'delivery']",none,,[],[],[],[]
3,B005K4Q34S,3,1,0.45669421632459006,"['GOODREVIEW', 'flavor', 'enjoyable', 'favorite', 'hazelnut', 'cappuccino', 'try', 'think', 'also', 'would']","for an enjoyable change from a coffee routine, i thought i would try this cappuccino.  what also caught my attention was ""hazelnut""..a favorite flavor for me. this product delivers very enjoyable, full flavored as hoped for.",0.96358436,['for .'],[],[],[]
4,B005K4Q34S,4,535,0.3406016410932738,"['GOODREVIEW', 'BADREVIEW', 'taste', 'cappuccino', 'like', 'good', 'k', 'love', 'buy', 'great']","imagine yourself craving coffee. but you are on... a big ferry boat. with a single coffee vending machine. the kind that you would not venture near if you had any choice in the matter. but you need a hot beverage, or the caffiene, or something warm to hold, whatever. so you bite. the paper cup shoots out of some recess in the machine, and a close approximation of coffee pours into said cup, with the familiar, but suspect aroma of vanilla in the air. then you taste it - and yup, it is exactly as vending machine icky as you hoped it would not be. you taste the artificial, and you learn to settle for it. because you are stuck on a boat.  well, grove square capuccino cups, french vanilla - are just a little better than that. a smidgen better, not much more.  so if you are not stuck on a ferry boat (or train station, or gas station, or local dmv waiting area or someplace equally dismal), and if you actually do have a choice, i would urge you to at least try before you buy. so you are not stuck with 23 k-cups that make you cringe :)",0.9918079,"['4.5 grams', 'authorized on-line', 'authorized sellers', 'corn solids', 'day-old roll', 'defeats purpose', 'dispensed half-cup', 'growing slimy', 'on-line sellers', 'packet swiss']","['this is', '. it', '. is', ', i', '. this', 'i not', '! !', ', but']","['authorized on-line sellers', 'corn syrup solids', 'packet swiss miss', 'required special cleaning', 'swiss miss etc', 'yourself growing slimy', 'partially vegetable oil', '4.5 grams fat', 'general foods international', 'such required special']","['! ! !', '. i not', ', it is', '. i have', '. i am', 'i do not', '. i this', '. if you']"
0,B0013A0QXC,0,0,0.609429124403824,"['mug', 'holder', 'opinion', 'instead', 'special', 'sugar', 'hop', 'take', 'shelf', 'creamy']",none,,[],[],[],[]
1,B0013A0QXC,1,0,0.5910349146040319,"['soon', 'average', 'unusable', 'brand', 'keurig', 'tea', 'outside', 'netherlands', 'talk', 'holland']",none,,[],[],[],[]
2,B0013A0QXC,2,0,0.5588358021389789,"['double', 'completely', 'barely', 'availability', 'coupon', 'press', 'euro', 'today', 'six', 'relatively']",none,,[],[],[],[]
3,B0013A0QXC,3,2,0.5307426260527629,"['hope', 'offer', 'shipping', 'columbian', 'expect', 'bulk', 'super', 'mix', 'blend', 'receive']","while i like the taste of the blend i received this time, i would be happier if senseo offered a generic bean, such as columbian supremo instead of an unidentifiable blend. by offering a blend, senseo can change the mix to reflect their current costs for the various columbian beans. the next time i purchase this, if i do, it could have an entirely differant taste.",0.44776034,"['this ,', 'for the', 'i received', 'i this', 'time i', ', i', '. i']","['for the', 'i received', 'i this', 'this ,', 'time i']","['this , i']",[]
4,B0013A0QXC,4,343,0.5125565489212619,"['GOODREVIEW', 'BADREVIEW', 'cup', 'use', 'good', 'roast', 'like', 'one', 'taste', 'dark']","i have been a senceo coffee fan for quite a few years and have loved the rich taste, aroma and flavor of the ""senceo"" brand coffees. lately the pods i have received are covered with coffee grounds and invariably each pack of pods has 1 or 2 pods that have separated enough to allow the grounds to leak out. the orifice through which the coffee passes as it is brewed becomes clogged with these grounds and your cup is empty at the end of the brewing cycle. the vacuum that is created during the brewing does not allow you to open the machine until the pressure subsides. the pods must then be removed once the pressure releases and the pod retainer must be removed and cleaned. ""i must have the cleanest pod retainer because i am cleaning it after having tried to brew every cup of coffee lately"". it seams that the quality control needs some attention! i will continue to use ""senceo"" brands of coffee because there really is no better pod coffee available. i have tried them all. they either do not fit in the pod retainer or the quality of the coffee is suspect! i would love to know when the delux coffee maker will again be offered, i loved the ability to use a taller coffee cup with the adjustable coffee spout.",0.991087,"['dunkin donuts', 'egg nog', 'late nights', 'reunion island', 'wolfgang puck', 'environmentally friendly', 'fair trade', 'grindmaster opod', 'united states', 'trade organic']","['coffee .', '. the', 'the senseo', 'i have', 'the coffee', 'of coffee', '. is', '. it']","['fair trade organic', 'flavour -- jan', 'freshly ground beans', 'fill travel mug', 'late nights )', 'let us hope', 'got 6 pack', '-- jan just', 'supply on hand', 'all positive reviews']","['. i have', 'a cup of', 'coffee . i', '. this is', 'the senseo coffee', '. i the', 'i have tried', 'of coffee .']"
5,B0013A0QXC,5,0,0.5006900213850625,"['plan', 'full', 'plastic', 'send', 'take', 'everyday', 'comparison', 'yet', 'value', 'discount']",none,,[],[],[],[]
