,product,topic,as_main_topic,as_primary_subtopic,as_secondary_subtopic,topic_coherence,top_words,best_review,best_review_fit,top_bigrams_pmi,top_bigrams_freq,top_trigrams_pmi,top_trigrams_freq
7,B006MONQMC,7,0,0,0,0.38652347973412776,"['tea', 'milk', 'slip', 'lipton', 'dollar', 'replacement', 'left', 'delivers', 'additives', 'sick']",none,,[],[],[],[]
8,B006MONQMC,8,0,0,0,0.3063787261088393,"['describe', 'cough', 'syrup', 'metallic', 'doctor', 'advertise', 'edge', 'wall', 'gummy', 'attempt']",none,,[],[],[],[]
9,B006MONQMC,9,478,12,0,0.2177488049564559,"['GOODREVIEW', 'BADREVIEW', 'drink', 'vitamin', 'squeeze', 'like', 'flavor', 'energy', 'bottle', 'good']","we have a , so i am always on the lookout for healthy ways to flavor carbonated water as well as regular water. this vitamin squeeze energy drink is a good idea, but there are several problems i have with it. first, we need something without the caffeine. being older and with a heart patient and a seizure-prone individual in the family, we are trying to cut way down on caffeine. anyone with kids (the group the fruit punch flavor seems to be targeted to) is also not going to want the caffeine. the large bottle is a good thing until you realize you should use it up within 30 days. you would need active, thirsty kids with friends or a large family to consume it all within the use-by date.  the vitamins are what we are after and a healthier alternative to sodas. specifically, we want a go-to drink that helps us wean ourselves off of diet sodas and get in the habit of reaching for water instead. (those with soda-addicted children are probably looking for the same thing.) that is a tastebud issue as well as one of habit, just like cutting salt out of one's diet is&mdash;you start with more and then lessen the amount you use as your taste buds adjust. but the sucralose sweetener, as it is with many of these flavored-water drinks, is dreadful at any strength, imo.  i know, too, that the idea that sucralose is bad for you is controversial, but the taste of it is not. it has an indisputable chemical taste that i am not fond of. why not stevia instead? or xylitol (with a caution about overconsumption causing diarrhea). the product has to be refrigerated, so why not something other than the shelf-stable sucralose?  finally, i am confused about the ""one squeeze"" claim. i got the impression that this ""one squeeze"" is a measured amount. however, when i did one squeeze in a glass, it did not stop squeezing before i did and i wound up with a glass that was too strongly flavored and yucky. is this how most people like their drinks? there seems to be some kind of control mechanism in the open portion of the cap, and also it looks like there is some kind of straw thing being used in the picture on the bottle. is a straw thing required to measure/control the squeezer? my bottle (just one, for review) did not come with anything like that. so all i can say about it is that the squeeze does not seem to be measured. maybe i misunderstood that it was going to be.",0.995813250541687,"['cardboard washer', 'co worker', 'fort knox', 'yada yada', 'bacteria intestine', 'bike ride', 'deer park', 'gummy worm', 'length min', 'photograph post']","['energy drink', 'taste like', 'fruit flavor', 'punch flavor', 'vitamin energy', 'one squeeze', 'squeeze drink', 'squeeze energy']","['photograph post website', 'yada yada yeah', 'acacia glyceryl abietate', 'gum acacia abietate', 'gum acacia glyceryl', 'gum glyceryl abietate', 'rah dose sunshine', 'acai grape pomegranate', 'gatorade contains bvo', 'variety sacrifice fitness']","['squeeze energy drink', 'vitamin energy drink', 'vitamin squeeze drink', 'like fruit punch', 'fruit punch not', 'fruit punch taste', 'like kool aid', 'taste fruit punch']"
0,B005ZBZLT4,0,37,84,53,0.6264828267236692,"['GOODREVIEW', 'BADREVIEW', 'k', 'like', 'plastic', 'taste', 'VGOODREVIEW', 'bag', 'brew', 'make']","i was given a keurig as a gift and it is so easy to use that i use it almost exclusively.  i had previously used several favorite brands/types of coffee and i ground them fresh for use with a drip pot.  keurig k-cups do not normally meet my expectations, particularly in the strength of the brew but i have adopted the habit of using k-cups for my morning cup to ""chase the fog away"" and the brands i selected for daily use were good but expensive.  this coffee i found as part of a continuous effort to try new brands, to reduce waste but particularly in light of the increase of the price of my favorite brand to ~$0.71/k-cup.  since i drink a double 7oz brew for that first cup to get enough volume with the brew size reduced for strength, that works out to nearly $1.50 a cup in my own kitchen for a less than premium brew.  this san francisco bay coffee is of more than acceptable flavor and is very nicely priced @ $0.38/k-cup with an automatic repeating order-- close to half the price of my former choice.  incidentally, after the morning dose, if i want more, i then have enough functioning brain cells to recycle used, washed k-cups using the k-saver stainless steel lids  and my favorite vietnamese coffee which costs ~$0.20/k-cup.  this is the best brew and the least wasteful way but i do not have the patience too do it in the early morning until awake.  i recommend it highly.  san fran bay coffee are very similar to k-cups but they do not have a complete cup attached to the mesh brew bag.  this eliminates a lot of hard plastic waste.",0.988195776939392,"['bye hop', 'friend bye', 'ready grab', 'cinnamon half', 'christmas gift', 'doughnut shop', 'flow thru', 'jet fuel', 'starbucks sumatra', 'green mountain']","['cup not', 'fog chaser', 'coffee not', 'plastic cup', 'like coffee', 'coffee taste', 'strong coffee', 'not k']","['friend bye hop', 'family friend bye', 'kcups unit display', 'know ready grab', 'star rating comparison', 'add cinnamon half', 'short period time', 'bye hop would', 'water flow thru', 'affordable put lock']","['coffee k cup', 'cup k cup', 'k cup plastic', 'coffee fog chaser', 'coffee taste good', 'k cup coffee', 'plastic k cup', 'regular k cup']"
1,B005ZBZLT4,1,0,1,2,0.6096528376840225,"['please', 'sfb', 'cool', 'course', 'personal', 'remind', 'unfortunately', 'later', 'note', 'amount']","i am shocked at all the good reviews for this sludge...i found it to be akin to very watery mud. horrible, and not an item eligible for return with amazon unfortunately. a total rip off! now, i will splurge for the keurig k-cups; lesson learned the hard way :(",0.4496575295925141,[],[],[],[]
2,B005ZBZLT4,2,0,0,36,0.5912686607137053,"['back', 'kona', 'dry', 'send', 'drip', 'hit', 'chase', 'fill', 'majority', 'float']",none,,[],[],[],[]
3,B005ZBZLT4,3,165,206,42,0.5196506093749835,"['GOODREVIEW', 'VGOODREVIEW', 'BADREVIEW', 'k', 'great', 'price', 'like', 'try', 'taste', 'good']","i have been on subscribe and save for kcups since i bought a keurig 4 years ago.  at the time, i thought the 'frustration free' box and coffee people cups were great.  but over the years the price has creeped up and it was brought up my little cups were not exactly 'green.'  hmph!  sf coffee pod change everything.  first of all it tastes great.  it is the closest to a cup of coffee from a coffee house.  the pod design allows for a greener pod, but also more coffee per pod than a traditional kcup.  but the real advantage is having the wonderful smell of coffee.  i have missed it.  i have a done of airtight plastic containers that keep the pods fresh and look forward to opening it and smelling the coffee.  :)  if you are looking for an alternative for you keurig, give this a try.  it wins on many levels including, price, taste and smell.  real coffee fans will understand what i mean.",0.9897794127464294,"['grove square', 'step direction', 'web site', 'bi monthly', 'e mail', 'exceed expectation', 'hint vanilla', 'mission statement', 'thirty six', 'toss garbage']","['cup coffee', 'san francisco', 'san bay', 'francisco bay', 'coffee not', 'good coffee', 'french roast', 'cup not']","['shipment bi monthly', 'pour press wait', 'step right direction', 'ring foil cover', 'family mission statement', 'timothy midnight magic', 'corner wont buy', 'convenience pre fill', 'amazon web site', 'bi monthly first']","['francisco bay coffee', 'san bay coffee', 'k cup coffee', 'bay fog chaser', 'k cup not', 'francisco bay fog', 'coffee fog chaser', 'regular k cup']"
4,B005ZBZLT4,4,0,0,8,0.5175052681898061,"['value', 'size', 'reason', 'use', 'another', 'setting', 'chance', 'mug', 'roast', 'watery']",none,,[],[],[],[]
5,B005ZBZLT4,5,0,1,4,0.3582462015205093,"['grocery', 'month', 'costco', 'choose', 'extra', 'every', 'local', 'high', 'amount', 'almost']","this stuff is so oily, you probably could run your car on it. it takes 1\4 cup creamer to make it change from black to tan ick !!!!",0.6612135767936707,[],[],[],[]
6,B005ZBZLT4,6,0,1,66,0.3465401776597385,"['especially', 'roast', 'fog', 'french', 'chaser', 'box', 'mellow', 'flavor', 'also', 'rainforest']","i like the product and the price point, but for me, the flavor was very strong and overpowering.  perhaps i should have figured this out from the &#34;fog chaser&#34; name?",0.4807665050029754,[],[],[],[]
7,B005ZBZLT4,7,0,1,0,0.3434647153138552,"['family', 'anyone', 'lover', 'bug', 'pick', 'note', 'kick', 'write', 'although', 'ahead']",this coffee is something all should rave about at the price compared to other you must pay more for a commerical resaurants.,0.435470461845398,[],[],[],[]
8,B005ZBZLT4,8,3,7,16,0.3214548329256209,"['GOODREVIEW', 'BADREVIEW', 'good', 'like', 'bag', 'strong', 'version', 'k', 'VGOODREVIEW', 'seal']","i have been a picky keurig fan for about ten years, have always bought my coffee from either onegreatcup or amazon (because stores just do not have the selection), and until now had settled on jet fuel as my favorite -- just so you know what i like. fogchaser is in that league: rich, deep, dark, zesty, overall interesting and best of all (unlike the plastic-bottomed k-cups) brewing it makes my kitchen smell good again. i am putting it on subscription.  a good find; a keeper -- glad i tried it.",0.9838371872901917,"['compostable could', 'time really', 'can wait', 'open sealed', 'available save', 'available subscribe', 'subscribe save', 'fog chaser', 'french roast', 'order french']","['subscribe save', 'cup coffee', 'cup ever', 'fog chaser', 'amazing coffee', 'available save', 'available subscribe', 'best cup']","['many time really', 'open sealed bag', 'available subscribe save', 'time really good', 'order french roast', 'can not wait', 'best cup ever', 'brand k cup', 'plastic k cup', 'really good coffee']","['brand k cup', 'can not wait', 'many time really', 'open sealed bag', 'order french roast', 'plastic k cup', 'really good coffee', 'time really good']"
0,B003GTR8IO,0,0,0,0,0.6544473776639536,"['snob', 'preface', 'skip', 'wow', 'buck', 'costco', 'watery', 'adequate', 'whip', 'creme']",none,,[],[],[],[]
1,B003GTR8IO,1,0,0,0,0.6418454432382108,"['ice', 'hot', 'suit', 'permeate', 'aromatic', 'familiar', 'anticipate', 'parent', 'measurement', 'version']",none,,[],[],[],[]
2,B003GTR8IO,2,4,17,17,0.6304913680836326,"['VGOODREVIEW', 'cup', 'GOODREVIEW', 'enjoy', 'starbucks', 'brew', 'make', 'grind', 'BADREVIEW', 'surprise']",this stuff is awesome!  great taste rich roast perfect vanilla after-bite smooth and silky  all in all this would make an excellent replacement to your everyday cup of coffee on a cold winters morning/evening!,0.8619987964630127,"['half sugar', 'take sip', 'amount half', 'month star', 'one favorite', 'highly recommend', 'french press', 'add sweetener', 'prepare use', 'natural fusion']","['flavor coffee', 'starbucks natural', 'coffee vanilla', 'flavored coffee', 'french press', 'fusion vanilla', 'natural fusion', 'natural vanilla']","['half sugar opinion', 'generous amount half', 'six month star', 'amount half sugar', 'month star star', 'star starbucks via', 'warm scent vanilla', 'would highly recommend', 'starbucks natural fusion', 'star star star']","['starbucks fusion vanilla', 'starbucks natural fusion', 'starbucks natural vanilla', 'star star star', 'coffee hint vanilla', 'month star star', 'star star starbucks', 'amount half sugar']"
3,B003GTR8IO,3,190,307,12,0.6016188444159731,"['GOODREVIEW', 'BADREVIEW', 'taste', 'flavor', 'like', 'starbucks', 'VGOODREVIEW', 'good', 'would', 'ground']","preparation: i drink my coffee black.  i experimented with various strengths around the recommended measure.  most of my preps were done in a french press pot, hoping that this would hold more of the volatile vanilla until it was served (vs a drip preparation).  there was at most a very faint taste or smell of vanilla when drinking. in stronger preps, there was none. however, there is a persistent after-taste, part of which was the smell of vanilla and the other parts being coffee and something i could not characterize. at a normal strength brew, i did not find the after-taste itself to be the problem, but rather its persistence (for hours).  in stronger brews, the drink and the after-taste had a prominent burnt and acidic taste (a characterization often used by non-fans of starbucks).  my _awareness_ of the after-taste declined significantly in subsequent days.  however, since a major use of flavored coffees is when entertaining, many of the drinkers will not be desensitized.  the most pleasant part of the experience with this coffee was the smell while scooping it from the bag and disposing of the grounds--both had a pleasant vanilla smell.  if it were not for the persistent after-taste, i would have rated this 4-stars, being what you should expect relative to other coffees from starbucks. since how one views the good-ness of starbucks-style coffee is a matter of personal taste and hence should be factored in by the reader, not by this reviewer.",0.9926074147224426,"['coca cola', 'gas station', 'tight cabinet', 'willing boutique', 'gold card', 'south america', 'co worker', 'eight clock', 'fall category', 'toddy system']","['vanilla coffee', 'flavored coffee', 'coffee not', 'starbucks coffee', 'coffee vanilla', 'like coffee', 'ground coffee', 'vanilla not']","['controller loathe fru', 'seal tight cabinet', 'willing pay boutique', 'mate peppermint mocha', 'responsibly grown ethically', 'cold toddy system', 'willing boutique price', 'lightly latin american', 'responsibly ethically trade', 'perfect toddy system']","['vanilla flavor not', 'natural fusion vanilla', 'natural fusion coffee', 'coffee vanilla flavor', 'starbucks natural vanilla', 'natural fusion ground', 'fusion ground coffee', 'starbucks fusion vanilla']"
4,B003GTR8IO,4,0,0,2,0.5637232692948452,"['mind', 'decaf', 'low', 'basic', 'color', 'cooky', 'cloying', 'fancy', 'connoisseur', 'shelf']",none,,[],[],[],[]
5,B003GTR8IO,5,0,0,0,0.5562936781648018,"['melitta', 'unpleasant', 'hand', 'top', 'tongue', 'scoop', 'etc', 'syrupy', 'feel', 'peet']",none,,[],[],[],[]
6,B003GTR8IO,6,1,9,37,0.5464470324036506,"['VGOODREVIEW', 'flavor', 'love', 'GOODREVIEW', 'starbucks', 'like', 'BADREVIEW', 'natural', 'really', 'would']","i love this coffee.  it has the boldness of regular starbucks coffee with a light vanilla flavor.  i love that it is not overpowered with an artificial vanilla taste like a lot of other brands.  this coffee is great if you love the bold flavor of starbucks - however if you do not like a strong coffee, i would stear clear of this one.  i personally love starbucks flavor and i love the natural vanilla flavor.  i brought this to work and my coworkers all agreed.  if you want a really sweet vanilla flavor, this is probably not for you.",0.9827043414115906,"['natural fusion', 'would recommend', 'not overpower', 'taste like', 'body love', 'really would', 'light vanilla', 'overpower vanilla', 'great love', 'flavor seem']","['vanilla coffee', 'coffee flavor', 'coffee vanilla', 'coffee love', 'flavor not', 'like vanilla', 'coffee like', 'flavor love']","['junk body love', 'love coffee boldness', 'not overpower vanilla', 'overwhelming vanilla flavor', 'vanilla taste like', 'body love coffee', 'flavor coffee try', 'light vanilla flavor', 'vanilla flavor seem', 'great love flavor']","['like vanilla flavor', 'vanilla flavor not', 'vanilla flavor seem', 'body love coffee', 'flavor coffee try', 'great love flavor', 'junk body love', 'light vanilla flavor']"
7,B003GTR8IO,7,1,1,2,0.532828895042567,"['BADREVIEW', 'GOODREVIEW', 'flavor', 'try', 'fan', 'good', 'would', 'flavored', 'starbucks', 'huge']","i love coffee! i am always trying new brands & flavors so when i saw that starbucks came out with the natural fusions i thought i would give it a shot. i am not a huge fan of flavored coffees, but i am willing to try them. this was a waste of money! the flavor was not good & it left a horrible after taste. it was like getting a cheap cup at hospital or gas station. i ended up throwing it away.",0.904097020626068,"['coffee try', 'not good', 'coffee taste']",['not good'],[],[]
8,B003GTR8IO,8,0,0,2,0.3282826233036279,"['holiday', 'company', 'sort', 'dunkin', 'donut', 'special', 'true', 'hazelnut', 'stay', 'new']",none,,[],[],[],[]
9,B003GTR8IO,9,0,0,0,0.31800692301181527,"['teaspoon', 'wife', 'mellow', 'method', 'gift', 'christmas', 'ask', 'expectation', 'fru', 'hubby']",none,,[],[],[],[]
10,B003GTR8IO,10,0,0,2,0.25008660680962824,"['cheap', 'shot', 'hate', 'addition', 'mocha', 'general', 'word', 'daily', 'reason', 'large']",none,,[],[],[],[]
11,B003GTR8IO,11,0,0,0,0.24120373834646744,"['sarsaparilla', 'root', 'keurig', 'bottom', 'variety', 'excited', 'powering', 'feel', 'although', 'mixed']",none,,[],[],[],[]
0,B005K4Q34S,0,1,3,9,0.6650629221848698,"['GOODREVIEW', 'flavor', 'try', 'hazelnut', 'think', 'cappuccino', 'also', 'would', 'favorite', 'attention']","for an enjoyable change from a coffee routine, i thought i would try this cappuccino.  what also caught my attention was ""hazelnut""..a favorite flavor for me. this product delivers very enjoyable, full flavored as hoped for.",0.7252020835876465,[],[],[],[]
1,B005K4Q34S,1,20,44,33,0.6266781617198808,"['BADREVIEW', 'VBADREVIEW', 'taste', 'GOODREVIEW', 'instant', 'like', 'k', 'sugar', 'bad', 'water']","this coffe is terrible, too sweet and it does not taste like cappuccino at all. save yourself some money and buy real coffee like the san francisco bay fog chaser for your keurig. ",0.9586768746376038,"['half black', 'authorize line', 'authorize seller', 'corn solid', 'corn syrup', 'defeat purpose', 'gloria jean', 'line seller', 'syrup solid', 'grove square']","['taste like', 'coffee not', 'gas station', 'cup coffee', 'hydrogenate oil', 'not buy', 'coffee cup', 'coffee purchase']","['authorize line seller', 'corn syrup solid', 'oil corn syrup', 'mix half black', 'vegetable oil corn', 'tasting rid box', 'partially hydrogenate vegetable', 'partially vegetable oil', 'sugar corn solid', 'sugar corn syrup']","['instant coffee not', 'buy instant coffee', 'gas station cappuccino', 'partially hydrogenate oil', 'taste like coffee', 'coffee not coffee', 'coffee taste good', 'contain hydrogenate oil']"
2,B005K4Q34S,2,0,0,0,0.6177773988576873,"['awesome', 'bulk', 'next', 'mix', 'ever', 'wow', 'rd', 'carmel', 'club', 'sam']",none,,[],[],[],[]
3,B005K4Q34S,3,0,2,6,0.5597718686289147,"['old', 'maker', 'dark', 'walmart', 'roast', 'use', 'enough', 'size', 'small', 'opinion']",thick delicious and creamy.  i foudn the hazlenut flavoring to be quite distinctive yet not over powering.  i will use the small cup size on this then a small cup of kona and its really yummy and strong :),0.5914639830589294,['small cup'],[],[],[]
4,B005K4Q34S,4,0,1,5,0.4985679414802486,"['fat', 'bad', 'review', 'trash', 'bargain', 'disgust', 'diet', 'pleasant', 'otherwise', 'instead']","terrible flavor.  watery and weak. does not compare to the supposedly similar cafe express brand of chai latte.  do not order *you can not return or exchange for a better product*.  you will not like this, that is why it is so inexpensive compared to regular coffee k-cups.",0.4100634753704071,[],[],[],[]
5,B005K4Q34S,5,0,2,7,0.47513686619015905,"['station', 'gas', 'get', 'machine', 'say', 'others', 'must', 'house', 'alot', 'stock']",love these cappuccinos but because i live in canada i will not be able to get them much longer. why?,0.4816493988037109,[],[],[],[]
6,B005K4Q34S,6,0,1,3,0.46929830087132374,"['bit', 'reorder', 'require', 'international', 'miss', 'additional', 'half', 'kid', 'cappuccinos', 'hit']",the box had been opened before and was taped with scotch tape several of the kcups were leaking into the box and had to be tossed that is the first time that has happened but i was very disappointed.,0.5935829877853394,[],[],[],[]
7,B005K4Q34S,7,0,2,4,0.46811211732056035,"['family', 'snob', 'tooth', 'seriously', 'share', 'expensive', 'pod', 'maker', 'sale', 'comment']","i am not a coffee snob, but i find this strong is very strong in flavor.  i use the large cup selection on my maker and combine it with a cup of regular coffee.  i think it might be ok over ice.",0.5032927989959717,"['find strong', 'strong flavor']",[],"['find strong flavor', 'snob find strong', 'strong flavor use']",['strong flavor use']
8,B005K4Q34S,8,0,3,1,0.394176819993209,"['start', 'end', 'brewing', 'sit', 'gift', 'evening', 'affordable', 'bottom', 'show', 'special']","was not impressed with this product at all. in fact, it is just sitting in the pantry now. it might be possible to brew a cup of strong coffee, divide it two and then run cappuccino to add as a flavor.",0.553861141204834,"['cup coffee', 'k cup']",[],[],[]
9,B005K4Q34S,9,0,1,1,0.39296052121580904,"['enjoyable', 'deliver', 'catch', 'deal', 'hand', 'level', 'almost', 'trans', 'allergic', 'par']","any product with hydrogenated vegetable oils as the first ingredient is not worth buying.  this stuff has been banned in ny for a reason - it is poison for the human body. see the wikipedia article on trans fats for more information.  here is a clip : ""because of these facts and concerns, the nas has concluded there is no safe level of trans fat consumption. there is no adequate level, recommended daily amount or tolerable upper limit for trans fats. this is because any incremental increase in trans fat intake increases the risk of coronary heart disease.[2] """,0.3911139070987701,"['no level', 'fat increase', 'trans fat']",['no level'],['trans fat increase'],[]
10,B005K4Q34S,10,294,167,29,0.31266957504885406,"['GOODREVIEW', 'VGOODREVIEW', 'BADREVIEW', 'cappuccino', 'change', 'taste', 'like', 'love', 'good', 'great']","normally i do not care for coffee at all, but i absolutely loved these!  my sister got one of the keurig coffee machines, and there were samples of these included in the box. she told me that she thought i would like them, so i gave it a shot.  she was right! i absolutely loved these, and after running out of the samples decided to order some from amazon.  for me, they were the perfect ammount of sweetness, and i did not find there to be any weird artificial sweetner taste as some other reviwers have mentioned.  now i drink one of these every day. the only thing i prefer over these are the caramel flavored ones (also from grove square).  i would highly recommend these to everyone. especially people who normally do not like coffee. a+ and 5 stars in my book!",0.9868243336677552,"['win situation', 'co worker', 'reviwers mention', 'timely manner', 'careful drip', 'drip grow', 'ferry boat', 'gloria jean', 'grow slimy', 'sam club']","['gas station', 'grove square', 'taste like', 'not coffee', 'coffee not', 'vanilla cappuccino', 'coffee taste', 'taste great']","['cal fat sat', 'fat sat carb', 'half mixture perfection', 'sweetner reviwers mention', 'careful drip grow', 'grow slimy green', 'packet swiss etc', 'job especially umm', 'swiss miss etc', 'bottom dispenser spout']","['gas station cappuccino', 'like gas station', 'cappuccino k cup', 'coffee k cup', 'k cup coffee', 'get gas station', 'k cup not', 'not coffee drinker']"
